"lang"
{ 
	"Language" "dutch" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatische aanval"
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Ze heeft Kwerthias vermoord. Waarom zou ik niet aannemen dat ze ook achter mij aankomt? – <i>O'nia, paranoïde handelaar</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Aura der precisie"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"PASSIEF: De Drow-waker verhoogt de aanvalssnelheid van alle bondgenoten in een straal van {s:range} cel met {s:bonus}%."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Traxex. Jij en ik gaan de top bereiken. Geloof me maar. – <i>Grek, kwakzalver</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Golfvorm"
		"dac_ability_morphling_waveform_Description"							"De Vormveranderaar lost op tot een vloeistof, stroomt naar voren en richt {s:damage} schade aan aan vijandelijke eenheden op zijn pad.<br><br>De Vormveranderaar is onkwetsbaar tijdens de golfvorm."
		"dac_ability_morphling_waveform_Lore"									"Turaths vermogen om in de gunst te komen van wezens als de Vormveranderaar is... verontrustend. – <i>Quiet, mechanische samenzweerder</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Berserkersroep"
		"dac_ability_axe_berserkers_call_Description"							"De Aks bespot vijandelijke eenheden in een straal van {s:radius} cel, waarmee hij ze dwingt hem {s:duration} seconden lang aan te vallen. Tijdens de berserkersroep krijgt de Aks {s:bonus_armor} bonuspantser."
		"dac_ability_axe_berserkers_call_Lore"									"De Aks helpt je graag... Geef hem simpelweg bier en beloof hem dat hij er een goed verhaal aan zal overhouden. – <i>Wren, mobiliserende rebel</i>" 

		"dac_ability_axe_culling_blade"											"Oogstbijl"
		"dac_ability_axe_culling_blade_Description"								"Als de gezondheid van een doelwit van Aks onder de {s:target_percent_health_threshold}% zakt, doodt hij het onmiddellijk. Met zijn bijl."
		"dac_ability_axe_culling_blade_Lore"									"Aks is SUPERGOED in mensen in twee hakken. – <i>Goodkind, bard van Aks</i>" 

		"dac_ability_axe_counter_helix"											"Contrahelix"
		"dac_ability_axe_counter_helix_Description"								"Wanneer Aks wordt aangevallen, heeft hij een kans van {s:spin_chance}% om een Contrahelix-tegenaanval uit te voeren, die {s:spin_damage} pure schade toebrengt aan alle vijanden binnen een straal van 1 cel."
		"dac_ability_axe_counter_helix_Lore"									"Ik heb hem ooit eens de Gehalveerde Maan binnengelaten... Na de knokpartij heb ik de hele handel mogen renoveren. – <i>Jull legt uit waarom Aks zijn bar niet meer in mag</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Plasmaveld"
		"dac_ability_razor_plasma_field_Description"							"Razor laat een ringvormige plasmagolf los die in kracht groeit naarmate deze zich uitbreidt en zich vervolgens weer terugtrekt. Vijandelijke eenheden in een straal van {s:radius} cellen worden vertraagd en ontvangen maximaal {s:damage_max} schade.<br><br>De schade en vertraging nemen toe met de afstand tot Razor.<br><br>Het plasmaveld kan eenheden twee keer raken."
		"dac_ability_razor_plasma_field_Lore"									"Als je denkt dat hij in de straten van Witspits angstaanjagend is, zou je eens moeten zien wat hij in het Smalle Labyrint doet. – <i>Anessix, sportfan</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Mystieke aura"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"PASSIEF: Elke {s:interval} seconden herstelt de Kristalvrouwe {s:mana_regen} mana aan alle bevriende eenheden."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"Zoek uit of ze hier voor mij of voor Turath is. – <i>Jull, smokkelaar uit IJswrak</i>"

		"dac_ability_crystal_maiden_frostbite"									"Bevriezing"
		"dac_ability_crystal_maiden_frostbite_Description"						"Bevriest de vijand, waardoor bewegen en aanvallen onmogelijk wordt gemaakt, terwijl {s:duration} seconden lang {s:damage} schade per seconde wordt toegebracht. Doelwitten getroffen door Bevriezing kunnen niet genezen."
		"dac_ability_crystal_maiden_frostbite_Lore"								"Witspits staat nooit stil, dus het is gemakkelijk om iets te missen. Bijvoorbeeld dat de Kristalvrouwe van IJswrak, vroeger een fijne meid die graag mensen hielp, nu blijkbaar overal mensen bevriest. Wist ik niks van. – <i>Carl, altijd de laatste om ergens vanaf te weten</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Spookschip"
		"dac_ability_kunkka_ghostship_Description"								"Kunkka roept een spookschip op dat zich een weg baant door het gevecht voordat het uit elkaar spat, waarbij het {s:ability_damage} schade aanricht aan alle vijanden in een straal van {s:ghostship_crash_cells} cellen rond het wrak en ze {s:stun_duration} seconden verlamt."
		"dac_ability_kunkka_ghostship_Lore"										"Mama Eeb had veel vrienden... Kunkka wil antwoorden, net als ik. – <i>Wren, wraakzuchtige dochter</i>"

		//TINY
		"dac_ability_tiny_toss"													"Worp"
		"dac_ability_tiny_toss_Description"										"Tiny pakt een willekeurige nabije vijand op en gooit deze naar het verste vijandelijke doelwit.<br><br>Bij impact richt het {s:damage} schade aan aan alle vijanden in een straal van {s:damage_radius} cel en verlamt het ze {s:stun_duration} seconden."
		"dac_ability_tiny_toss_Lore"											"Enno heeft blijkbaar wat spierkracht ontdekt. – <i>Grek staat voor een groot probleem</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Illusiebol"
		"dac_ability_puck_illusory_orb_Description"								"Puck vuurt een magische bol af die in een recht pad zweeft en daarbij {s:damage} schade aanricht aan vijandelijke eenheden."
		"dac_ability_puck_illusory_orb_Lore"									"Laat je niet door z'n uiterlijk misleiden. Puck is een etterbakje. – <i>Hobgen spreekt wijze woorden</i>"

		"dac_ability_puck_phase_shift"											"Fasewissel"
		"dac_ability_puck_phase_shift_Description"								"<i>ONTGRENDELD DOOR DE DRAKENALLIANTIE</i><br>PASSIEF: Kort voordat Puck schade ontvangt, schuilt hij in een andere dimensie waar hij {s:shift_duration} seconden immuun voor schade is."
		"dac_ability_puck_phase_shift_Lore"										"Die etterbak is er nooit wanneer je hem nodig hebt. – <i>Hobgen, ongeduldige Underlord</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Batterijaanval"
		"dac_ability_clockwerk_battery_assault_Description"						"Het Uurwerk vuurt elke {s:damage_tick} seconden gedurende {s:duration} seconden met hoge kracht schroot af op willekeurige vijandelijke eenheden in een straal van {s:radius_in_cells} cel, wat {s:damage} magische schade veroorzaakt en kort verlamt."
		"dac_ability_clockwerk_battery_assault_Lore"							"De Messingen Heraut zou je walgelijk noemen, maar ik vind je best slim, kleine Keen. – <i>Quiet, ketterautomaat</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Kettingvorst"
		"dac_ability_lich_chain_frost_Description"								"De Zielenzuiger laat een bal van vorst los die maximaal {s:jumps} keer tussen nabije vijandelijke eenheden springt en daarbij hun aanvals- en bewegingssnelheid {s:slow_duration} seconden met {s:slow_value}% vertraagt en {s:damage} per treffer aanricht."
		"dac_ability_lich_chain_frost_Lore"										"Wij kunnen elkaar helpen, Zielenzuiger. – <i>Turath sluit een pact met de duivel</i>"

		"dac_ability_lich_3star"												"Lich 3 Star Effect"
		"dac_ability_lich_3star_Description"									"Lich gains Chain Frost. Lich releases an orb of frost that bounces between nearby enemy units up to {s:jumps} times, slowing their attack and movement speed by {s:slow_value}% for {s:slow_duration} seconds and dealing {s:damage} damage each time it hits."

		"dac_ability_lich_frost_shield"											"Frost Shield"
		"dac_ability_lich_frost_shield_Description"								"Lich applies a shield of ice to a random ally, reducing damage from attacks by {s:damage_resist_pct}. While the shield is active, enemy units within {s:radius} cell will take {s:damage_per_second} damage per second and lose {s:move_slow_pct}% Movement Speed and {s:attack_slow} Attack Speed. The shield lasts {s:duration} seconds."
		"dac_ability_lich_frost_shield_Lore"									"We can help each other Lich. - <I>In which Turath makes a Faustian deal</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Verwoesting"
		"dac_ability_tidehunter_ravage_Description"								"De Getijdenjager slaat op de grond, waardoor er in alle richtingen tentakels uitbreken die bij alle vijandelijke eenheden in een straal van {s:cells} cellen {s:damage} schade aanrichten en ze {s:duration} seconden verlammen."
		"dac_ability_tidehunter_ravage_Lore"									"Kunkka, ik vond je leuker toen je niet door een Leviathan werd opgejaagd. – <i>Wren, schijnvriend</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Beheksing"
		"dac_ability_shadow_shaman_voodoo_Description"							"De Schaduwsjamaan transformeert een vijandelijke eenheid in een hulpeloos beest, waardoor deze {s:duration} seconden niet kan aanvallen en geen vaardigheden kan gebruiken."
		"dac_ability_shadow_shaman_voodoo_Lore"									"Dat is me pas een show! – <i>Grek bewijst professionele beleefdheid</i>"

		"dac_ability_shadow_shaman_mass_serpent_ward"							"Hoop slangenwachters"
		"dac_ability_shadow_shaman_mass_serpent_ward_Description"				"De Schaduwsjamaan lokt een vijandelijke eenheid in de val door tot en met 4 Slangenwachters op te roepen. Een Schaduwsjamaan van 3 sterren behekst de vijandelijke eenheid ook {s:duration} seconden lang."
		"dac_ability_shadow_shaman_mass_serpent_ward_Lore"						"Good nieuws, er staat weer hoen op het menu!  – <i>Hobgen, sous-crimineel</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"Middernachtspuls"
		"dac_ability_enigma_midnight_pulse_Description"							"Enigma hult een gebied onder de vijand in donkere resonantie en brengt daarmee gedurende {s:duration} seconden {s:damage_percent}% van de maximale gezondheid van een vijand als schade toe aan alle vijandelijke eenheden in een straal van {s:radius} cellen rond het doelwit en vertraagt deze met {s:slow_percent}%."
		"dac_ability_enigma_midnight_pulse_Lore"								"Er zijn dingen in deze wereld die je niet kunt beheersen. – <i>Turath, krankzinnige magiër</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Hittezoekende raket"
		"dac_ability_tinker_heat_seeking_missile_Description"					"De Knutselaar vuurt een salvo raketten af op {s:targets} willekeurige vijanden die {s:damage_per_missile} schade aanrichten."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"Het Gezelschap van Gelijkgestemde Keens wordt nog een probleem als we er niets aan doen. – <i>O'nia probeert een verenigd front te vormen</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Genadeschot"
		"dac_ability_sniper_assassinate_Description"							"De Sluipschutter focust zich {s:castPoint} seconden op een vijandelijke eenheid en vuurt daarna een verwoestend schot af dat {s:damage} schade aanricht en het doelwit kort verlamt. Underlords worden niet onder vuur genomen."
		"dac_ability_sniper_assassinate_Lore"									"Je moet weten dat ik ooit een Keen mijn show liet openen. Prachtig voor het publiek, maar wat minder voor de aansprakelijkheidsverzekering. – <i>Grek, gericht op de nettowinst</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Doodspuls"
		"dac_ability_necrophos_death_pulse_Description"							"Necrofos laat een golf des doods om zich heen los, die vijandelijke en bevriende eenheden in een straal van {s:radius} cellen beïnvloedt.<br><br>De doodspuls richt {s:damage} schade aan aan vijanden en geneest bondgenoten met {s:heal}."
		"dac_ability_necrophos_death_pulse_Lore"								"Kom op, Necrofos, er is vast iets dat je wilt hebben... – <i>Anessix, gladde duivel</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Bijtende nevel"
		"dac_ability_slardar_amplify_damage_Description"						"Slardar past vijandelijk pantser {s:duration} seconde(n) met {s:armor_reduction} aan. Als Slardar 3 sterren heeft, brengt hij het doelwit ook {s:bash_damage} fysieke schade toe en verlamt het gedurende {s:bash_duration} seconde(n)."
		"dac_ability_slardar_amplify_damage_Lore"								"Zelfs met Slark kon ik zakendoen, dus dan kunnen we het vast wel met elkaar eens worden. – <i>Jull, amateurwijnkenner</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Wilde bijlen"
		"dac_ability_beastmaster_wild_axes_Description"							"De Beestenmeester gooit zijn bijlen weg en roept ze vervolgens weer terug. Hierbij snijden ze door vijandelijke eenheden op hun pad en richten ze {s:axe_damage} schade aan.<br><br>Elke bijl kan een vijand eenmaal raken en versterkt daaropvolgende schade van de Beestenmeester met {s:damage_amp}%."
		"dac_ability_beastmaster_wild_axes_Lore"								"Hoeveel van die bomenknuffelaars springen er nog voor dat onderdeurtje in de bres? – <i>Grek klaagt over Enno</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Pestwachter"
		"dac_ability_venomancer_plague_ward_Description"						"De Venomant roept {s:num_wards} pestwachter(s) op om aan zijn zijde te vecht(en). Pestwachters brengen gifladingen toe aan hun doelwit en hebben {s:ward_magic_resist}% magieweerstand."
		"dac_ability_venomancer_plague_ward_Lore"								"Je creaties zijn werkelijk prachtig. Laat me je toch met je tuin helpen... – <i>Turath leert dat je met vleierij alles bereikt</i>"

		"dac_ability_venomancer_venomous_gale"									"Gifstorm"
		"dac_ability_venomancer_venomous_gale_Description"						"Vuurt een gifbal af in een rechte lijn. Geraakte eenheden ontvangen {s:projectile_damage} MAGISCHE schade en worden vergiftigd. Ze verliezen daardoor {s:movement_slow}% bewegingssnelheid en {s:attack_slow} aanvalssnelheid gedurende {s:tick_duration} seconden."
		"dac_ability_venomancer_venomous_gale_Lore"								"Nee, nee! Wanneer je die gast een podium biedt, legt zo de helft van het publiek het loodje. Zoek maar een ander. – <i>Grek denkt na over een geschikte vervanger voor Sun Wukong</i>"

		"dac_ability_venomancer_poison_sting"									"Gifangel"
		"dac_ability_venomancer_poison_sting_Description"						"PASSIEF: Elke aanval brengt een lading gif toe aan het doelwit."
		"dac_ability_venomancer_poison_sting_Lore"								"Hou dat ding weg van Enno, meer gif is het laatste dat dat mormel nodig heeft... – <i>Hobgen wordt liever niet vergiftigd</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Breking"
		"dac_ability_templar_assassin_refraction_Description"					"De Tempelmoordenaar wordt ongrijpbaar, waarbij ze schade ontwijkt en {s:bonus_damage}% meer schade aanricht.<br><br>De twee effecten, ongrijpbaar worden en extra schade aanrichten, staan los van elkaar en hebben elk {s:instances} instanties."
		"dac_ability_templar_assassin_refraction_Lore"							"Als je me helpt is je schuld vereffend. – <i>Wren neemt alle hulp aan die ze kan krijgen</i>"

		"dac_ability_templar_assassin_meld"										"Fusie"
		"dac_ability_templar_assassin_meld_Description"							"PASSIEF: Nadat de Tempelmoordenaar naar haar doelwit teleporteert, richt ze {s:damage} extra schade aan bij haar eerste aanval en verlaagt ze het pantser van het doelwit {s:armor_debuff_duration} seconden met {s:armor_debuff}."
		"dac_ability_templar_assassin_meld_Lore"								"Jouw talenten passen precies bij mijn plannen. – <i>Anessix heeft een vacature</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Adderaanval"
		"dac_ability_viper_viper_strike_Description"							"Het zure gif van Viper vertraagt de bewegings- en aanvalssnelheid van een vijandelijke eenheid met {s:bonus_attack_speed}% en richt {s:damage} gifschade over tijd aan.<br><br>Het vertragende effect neemt met de duur van het gif af."
		"dac_ability_viper_viper_strike_Lore"									"We zijn niet zo verschillend... Ik weet ook hoe het is om een slaaf te zijn. – <i>Quiet, samenzwerende automaat</i>"

		"dac_ability_viper_nethertoxin"											"Nedergif"
		"dac_ability_viper_nethertoxin_Description"								"Viper vergiftigt een cel. Het gif brengt {s:damage} schade per seconde toe aan vijandelijke eenheden in de cel. Dit wortelt hen en deactiveert passieve vaardigheden en alliantiebonussen."
		"dac_ability_viper_nethertoxin_Lore"									"Pas op, Slark. Als je me probeert te bestelen, loopt het niet goed voor je af. – <i>O'nia onthult haar ingehuurde handlanger</i> "

		"dac_ability_viper_corrosive_skin"										"Bijtende huid"
		"dac_ability_viper_corrosive_skin_Description"							"<i>ONTGRENDELD DOOR DE DRAKENALLIANTIE</i><br>PASSIEF: Viper scheidt een besmettelijke gifstof uit die een lading gif toebrengt en de aanvalssnelheid van elke vijand die hem schade toebrengt gedurende {s:dot_duration} seconden met {s:attack_slow} vertraagt. De zure afscheiding verhoogt ook de magieweerstand van Viper met {s:magic_resistance}."
		"dac_ability_viper_corrosive_skin_Lore"									"Wat zou ik graag een mantel van hem maken... – <i>Carl heeft grote dromen</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Maanmessen"
		"dac_ability_luna_moon_glaive_Description"								"PASSIEF: Luna's messen springen {s:bounces} keer tussen vijanden in een straal van {s:range} cellen.<br><br>Messen richten per sprong {s:damage_reduction_percent}% minder schade aan."
		"dac_ability_luna_moon_glaive_Lore"										"Ik snap de helft van wat je zegt niet, maar ik vind het leuk hoe je die dingen gooit. – <i>Grek, mensenmens</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Vuuradem"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Unleashes a breath of fire in front of Dragon Knight that burns enemies for {s:damage} damage and reduces the damage their attacks deal by {s:attack_reduction}% for {s:duration} seconds and sets them on fire."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Davion, je verspilt je talenten aan iemand die de schoonheid van je handelen niet waardeert. – <i>Hobgen is op jacht naar talent</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Oerdraakvorm"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>ONTGRENDELD DOOR DE DRAKENALLIANTIE</i><br>PASSIEF: aan het begin van het gevecht neemt de Drakenridder de vorm aan van een van de drie krachtige oerdraken, waardoor zijn bewegingssnelheid met {s:bonus_movement_speed}% en zijn aanvalsschade met {s:bonus_attack_damage} toenemen en hij nieuwe krachten krijgt.<br><br>Groene draak:\nAanvallen richten {s:corrosive_breath_duration} seconden lang {s:corrosive_breath_damage} schade per seconde aan en vergiftigen het doelwit.<br><br>Rode draak:\nNaast het vergiftigen van vijanden, richten aanvallen ook {s:splash_damage_percent}% schade aan bij alle vijandelijke eenheden in een straal van {s:splash_radius} cellen rond het doelwit.<br><br>Blauwe draak:\nNaast het vergiftigen van vijanden, verlaagt een aanval de bewegingssnelheid van vijandelijke eenheden in een straal van {s:frost_aoe} cellen rond het doelwit {s:frost_duration} seconden lang met {s:frost_bonus_movement_speed}% en hun aanvalssnelheid met {s:frost_bonus_attack_speed}% gedurende dezelfde tijdspanne."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"Kaden sprak vol lof over je. Laten we hopen dat het welverdiend is. – <i>Wren, vriendin van de Drakenvesting</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"Hoeders der natuur"
		"dac_ability_enchantress_natures_attendants_Description"				"De Tovenares roept een zwerm van {s:wisp_count} schepseltjes op die alle bondgenoten in een straal van {s:radius} cellen geneest. <br><br>Gedurende {s:duration} seconden genezen bondgenoten elke {s:heal_interval} seconden {s:heal} gezondheid."
		"dac_ability_enchantress_natures_attendants_Lore"						"Ze houdt het nog geen dag uit in Witspits. Geen. Dag. – <i>Hobgen onderschat zijn vijand</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Shurikenworp"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"De Premiejager gooit een dodelijke werpster richting een vijandelijke eenheid, die {s:damage} schade aanricht en het doelwit kort verlamt."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Zolang je genoeg geld hebt, vertrouw je de man wiens loyaliteit te koop is. – <i>O'nia, twijfelachtige wijsheid</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Kleverige napalm"
		"dac_ability_batrider_sticky_napalm_Description"						"De Vleerrijder gooit brandende kleverige olie op de grond, waarbij een gebied in een straal van {s:radius} cellen rond de getroffen cel wordt bedekt. De olie voegt {s:damage} schade per lading toe aan de aanvallen van de Vleerrijder en vertraagt de bewegings- en aanvalssnelheid van vijanden met {s:movement_speed_pct}%. Een Vleerrijder van 3 sterren zet daarbovenop deze vijanden ook in brand gedurende {s:fire_duration} seconden.<br><br>Elke keer dat Kleverige napalm opnieuw wordt gebruikt, nemen de schade en vertraging toe, tot maximaal {s:max_stacks} ladingen."
		"dac_ability_batrider_sticky_napalm_Lore"								"Ik houd van die vent. IK HOUD VAN HEM! – <i>Hobgen, pyromaan</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Verderf"
		"dac_ability_doom_bringer_doom_Description"								"De Verderver spreekt een krachtige vloek uit die voorkomt dat een vijandelijke held spreuken kan gebruiken en schakelt diens passieve effecten uit met break terwijl hij ook {s:damage} schade per seconde aanricht.<br><br>Duurt {s:duration} seconden."
		"dac_ability_doom_bringer_doom_Lore"									"Ik sluit liever dealtjes met metaforische demonen... – <i>O'nia spreekt haar mening uit over de bondgenoten van Anessix</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Luchtaanval"
		"dac_ability_gyrocopter_call_down_Description"							"De Gyrocopter roept een luchtaanval op die alle vijanden in een straal van {s:radius} cellen rond het doelwit raakt.<br><br>Er komen twee raketten na elkaar aan: de eerste richt {s:damage_first} schade aan en vertraagt {s:slow_duration_first} seconden lang {s:slow_first}% en de tweede richt {s:damage_second} schade aan en vertraagt {s:slow_duration_second} seconden lang {s:slow_second}%."
		"dac_ability_gyrocopter_call_down_Lore"									"Beeld je eens in hoeveel goederen we met hem kunnen vervoeren. – <i>Jull denkt aan het grotere geheel</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Zuurbad"
