"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-angreb"
		"dac_ability_windrunner_powershot_Lore"									"Jeg har fået en masse venner under mine rejser, og jeg er ikke bange for at spørge om en tjeneste. <i>&#8211; Wren, den verdensomrejsende</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Lammende Pulver"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Heksedoktoren kaster en tønde med lammende pulver, som hopper {s:bounces} gange mellem fjendtlige enheder, lammer og giver {s:damage} skade til dem, det rammer."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Jeg elsker at se dig arbejde, Doc... <i>&#8211; Hobgen, drilsk fe</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Klingevrede"
		"dac_ability_juggernaut_blade_fury_Description"							"Kolossen drejer rundt med sin klinge, hvilket gør ham immun over for magi og giver {s:damage} skade pr. sekund til fjendtlige enheder, som er {s:radius} felt væk, i {s:duration} sek. Kolossen kan også begynde at snurre rundt for at undgå et magisk angreb."
		"dac_ability_juggernaut_blade_fury_Lore"								"Yurnero er ikke bare en kriger. Han er en kolos. Hvis vi får ham over på vores side, vil vi inden længe have stakkevis af døde kroppe. <i>&#8211; Grek ser på tingene fra alle sider</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"Angreb Nedefra"
		"dac_ability_sandking_burrowstrike_Description"							"Sandkongen graver sig ned i jorden og bevæger sig fremad. Han rammer fjender med {s:damage} skade og lammer dem i {s:stun_duration} sek.<br>Tildeler en stak Kaustisk Finale til alle fjender, som bliver ramt."
		"dac_ability_sandking_burrowstrike_Lore"								"Vi har brugt mange resurser på at etablere vores netværk af tunneler, så vi kan ikke lade Sandkongen ødelægge det, vi har bygget. <i>&#8211; Jull, spiritusbaronen</i>"

		"dac_ability_sandking_caustic_finale"									"Kaustisk Finale"
		"dac_ability_sandking_caustic_finale_Description"						"PASSIV: Når Sandkongen rammer en fjende, forgiftes målet i {s:apply_duration} sek. Når giften udløber, eksploderer den og giver {s:damage_aoe} skade og reducerer angrebshastigheden for alle tilstødende fjender med {s:attack_slow} i {s:slow_duration} sek. Skaden halveres, hvis målet stadig er i live."
		"dac_ability_sandking_caustic_finale_Lore"								"Kunne han dog ikke bruge en presenning? <i>&#8211; Anessix, ulastelig infernalist</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Sjælemesse"
		"dac_ability_shadow_fiend_requiem_Description"							"Skyggedjævlen kanaliserer de fordømtes sjæle og frigør dæmonisk energi rundt om sig, hvilket giver {s:damage} skade til alle, som rammes af eksplosionen."
		"dac_ability_shadow_fiend_requiem_Lore"									"Retten i Ristul og jeg har en... aftale. <i>&#8211; Anessix, jordbunden dæmon</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Nådestød"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"PASSIV: Fantommorderen har {s:crit_chance}% chance for at lande et ødelæggende kritisk angreb på {s:crit_bonus}% på fjendtlige enheder."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Hun dræbte Kwerthias. Hvorfor skulle jeg ikke formode, hun også er efter mig? <i>&#8211; O'nia, paranoid sælger</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Præcisionsaura"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"PASSIV: Drowsoldaten tilføjer en bonus på {s:bonus}% til angrebshastigheden hos alle allierede {s:range} felt væk."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Traxex. Du og jeg, vi når til tops sammen. Tro mig. <i>&#8211; Grek, slangeoliesælger</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Bølgeform"
		"dac_ability_morphling_waveform_Description"							"Formskifteren opløses til en væske og bruser fremad, hvilket skader fjendtlige enheder på hans vej med {s:damage} skade.<br><br>Formskifteren er usårlig under Bølgeform."
		"dac_ability_morphling_waveform_Lore"									"Turaths evne til at indsmigre sig hos væsner som Formskifteren er... foruroligende. <i>&#8211; Den Stille, Urmagerens medsammensvorne</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Bersærkerråb"
		"dac_ability_axe_berserkers_call_Description"							"Bøddelen håner fjendtlige enheder, som er {s:radius} felt væk, hvilket tvinger dem til at angribe ham i {s:duration} sek. Mens Bersærkerråb er aktiv, opnår Bøddelen {s:bonus_armor} bonusrustning."
		"dac_ability_axe_berserkers_call_Lore"									"Det er nemt at få Bøddelens hjælp... Alt, hvad du behøver, er øl og løftet om en god historie, han kan fortælle. <i>&#8211; Wren, den mobiliserende oprører</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Plasmafelt"
		"dac_ability_razor_plasma_field_Description"							"Razor frigør en cirkel af lyn, som vokser i styrke i takt med, at den udvider sig. Men den zapper også ved sammentrækning, som sløver og giver op til {s:damage_max} skade til fjendtlige enheder, som er op til {s:radius} felter væk.<br><br>Skade og sløvning stiger afhængigt af afstanden til Razor.<br><br>Lyncirklen rammer hver enhed to gange, én gang i hver retning."
		"dac_ability_razor_plasma_field_Lore"									"Hvis du synes, han er uhyggelig i Det Hvide Spirs gader, så skulle du se, hvad han gør i Den Smalle Labyrint. <i>&#8211; Anessix, sportsfan</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Mystisk Aura"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"PASSIV: Hvert {s:interval}. sek. giver Krystalkvinden {s:mana_regen} mana til alle allierede enheder."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"Find ud af, om hun er her for mig eller Turath. <i>&#8211; Jull, spritsmugler i Gletsjerlandet</i>"

		"dac_ability_crystal_maiden_frostbite"									"Forfrysning"
		"dac_ability_crystal_maiden_frostbite_Description"						"Indkapsler en fjendtlig enhed i is, så den hverken kan bevæge sig eller angribe, og giver {s:damage} skade pr. sekund i {s:duration} sek. Mål, som er påvirket af Forfrysning, kan ikke heles."
		"dac_ability_crystal_maiden_frostbite_Lore"								"Der sker meget i Det Hvide Spir, og nogle gange er det svært at følge med. For eksempel plejede Krystalkvinden fra Gletsjerlandet at hjælpe andre, men nu fryser hun faktisk folk, hvilket jeg ikke vidste. <i>&#8211; Carl, den sidste til at få ting at vide</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Spøgelsesskib"
		"dac_ability_kunkka_ghostship_Description"								"Kunkka hidkalder et spøgelsesskib, der sejler gennem kampen, før det tilintetgøres, hvilket giver {s:ability_damage} skade og lammer alle fjender op til {s:ghostship_crash_cells} felter fra skibsvraget i {s:stun_duration} sek."
		"dac_ability_kunkka_ghostship_Lore"										"Moder Eeb havde mange venner... Kunkka vil have svar lige så meget som mig. <i>&#8211; Wren, hævnlysten datter</i>"

		//TINY
		"dac_ability_tiny_toss"													"Kast"
		"dac_ability_tiny_toss_Description"										"Tiny samler en tilfældig tilstødende fjende op og kaster den mod det fjerneste fjendtlige mål.<br><br>Når målet lander, giver det {s:damage} skade til alle fjender, som er {s:damage_radius} felt væk, og lammer dem i {s:stun_duration} sek."
		"dac_ability_tiny_toss_Lore"											"Det ser ud til, at Enno har fundet sig noget muskelkraft. <i>&#8211; Grek render ind i et stort problem</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Illusionskugle"
		"dac_ability_puck_illusory_orb_Description"								"Puck affyrer en magisk kugle, som svæver af sted i en lige bane og giver {s:damage} skade på fjendtlige enheder på vejen."
		"dac_ability_puck_illusory_orb_Lore"									"Lad dig ikke narre af hans udseende. Puck er et rigtigt møgdyr. <i>&#8211; Hobgen deler ud af sin visdom</i>"

		"dac_ability_puck_phase_shift"											"Dimensionsskift"
		"dac_ability_puck_phase_shift_Description"								"<i>LÅST OP MED DRAGEALLIANCEN</i><br>PASSIV: Umiddelbart før Puck tager skade, flyver Puck ind i en anden dimension for en kort bemærkning, hvor den er immun over for skade i {s:shift_duration} sek."
		"dac_ability_puck_phase_shift_Lore"										"Den lille slyngel er her aldrig, når man har brug for ham. <i>&#8211; Hobgen, utålmodig Underlord</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Granatangreb"
		"dac_ability_clockwerk_battery_assault_Description"						"Urmageren frigiver kraftige granatsplinter på tilfældige fjendtlige enheder, som er {s:radius_in_cells} felt væk, hvert {s:damage_tick}. sek. i {s:duration} sek. og giver {s:damage} magisk skade og mini-lammer dem."
		"dac_ability_clockwerk_battery_assault_Lore"							"Messingbudbringeren ville kalde dig en vederstyggelighed, men jeg synes, du er ret klog, lille keen. <i>&#8211; Den Stille, kættersk robot</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Frostkugle"
		"dac_ability_lich_chain_frost_Description"								"Liget frigiver en frostkugle, som springer mellem fjender i nærheden op til {s:jumps} gange. Frostkuglen hæmmer deres angrebs- og bevægelseshastighed med {s:slow_value}% i {s:slow_duration} sek. og giver {s:damage} skade, hver gang den rammer."
		"dac_ability_lich_chain_frost_Lore"										"Vi kan hjælpe hinanden, Lig. <I>&#8211; Turath indgår en pagt med djævlen</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Ødelæggelse"
		"dac_ability_tidehunter_ravage_Description"								"Tidevandsjægeren hamrer i jorden, hvilket får tentakler til at bryde frem i alle retninger. De giver {s:damage} skade og lammer alle fjendtlige enheder, som er {s:cells} felter væk, i {s:duration} sek."
		"dac_ability_tidehunter_ravage_Lore"									"Kunkka, jeg kunne bedre lide dig, dengang du ikke blev jagtet af en leviathan. <i>&#8211; Wren, en ven i gode tider</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Fortryl"
		"dac_ability_shadow_shaman_voodoo_Description"							"Skyggeshamanen forvandler en fjendtlig enhed til et harmløst væsen og deaktiverer dens angreb og evner i {s:duration} sek."
		"dac_ability_shadow_shaman_voodoo_Lore"									"Ham der, han forstår at underholde! <i>&#8211; Grek udviser professionel høflighed</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"Midnatspuls"
		"dac_ability_enigma_midnight_pulse_Description"							"Enigma indhyller et område i mørk resonans og gør {s:damage_percent}% skade på en fjendes maksimale helbred i {s:duration} sek. Dette berører alle fjendtlige enheder, som er op til {s:radius} felter fra målet."
		"dac_ability_enigma_midnight_pulse_Lore"								"Der er ting i denne verden, du ikke kan kontrollere. <i>&#8211; Turath, den vrede magiker</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Varmesøgende Missil"
		"dac_ability_tinker_heat_seeking_missile_Description"					"Tinkeren affyrer en salve af raketter mod {s:targets} tilfældige fjender og giver {s:damage_per_missile} skade, når de rammer."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"Selskabet for De Ligesindede Keens vil være et problem, hvis de ikke holdes i skak. <i>&#8211; O'nia prøver at skabe en fælles front</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Dræb"
		"dac_ability_sniper_assassinate_Description"							"Skarpskytten tager sigte på en fjendtlig enhed i {s:castPoint} sek. og affyrer derefter et katastrofalt skud, som giver {s:damage} skade og mini-lammer målet. Der sigtes ikke på Underlords."
		"dac_ability_sniper_assassinate_Lore"									"Ja, jeg havde engang en fra keenfolket som åbningsnummer i mit show. Godt for publikum, dårligt for forsikringen. <i>&#8211; Grek tænker på bundlinjen</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Dødsstød"
		"dac_ability_necrophos_death_pulse_Description"							"Nekrophos frigiver en bølge af død rundt om sig, som påvirker fjendtlige og allierede enheder op til {s:radius} felter væk.<br><br>Dødsstødet giver {s:damage} skade til fjender og heler allierede med {s:heal}."
		"dac_ability_necrophos_death_pulse_Lore"								"Kom nu, Nekrophos. Der må da være noget, du vil have... <i>&#8211; Anessix, veltalende djævel</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Ætsende Dis"
		"dac_ability_slardar_amplify_damage_Description"						"Slardar ændrer fjendtlig rustning med {s:armor_reduction} i {s:duration} sek."
		"dac_ability_slardar_amplify_damage_Lore"								"Slark og jeg fandt ud af at gøre forretninger sammen, så vi kan nok også nå en aftale. <i>&#8211; Jull, vinkender</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Vilde Økser"
		"dac_ability_beastmaster_wild_axes_Description"							"Dyrenes Konge sender sine økser af sted og kalder dem hjem igen. De skærer sig igennem fjendtlige enheder på deres vej og giver {s:axe_damage} skade.<br><br>Hver økse kan ramme en fjende én gang og forstærker efterfølgende skade fra Dyrenes Konge med {s:damage_amp}%."
		"dac_ability_beastmaster_wild_axes_Lore"								"Hvor mange af disse trækrammere vil forsvare den lille svækling? <i>&#8211; Grek brokker sig over Enno</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Giftig Vagt"
		"dac_ability_venomancer_plague_ward_Description"						"Giftslangen hidkalder {s:num_wards} Giftig Vagt til at kæmpe side om side med ham."
		"dac_ability_venomancer_plague_ward_Lore"								"Dine kreationer er smukke at beskue. Lad mig hjælpe dig med din have... <i>&#8211; Turath lærer, at man kommer langt med smiger</i>"

		"dac_ability_venomancer_venomous_gale"									"Giftig Storm"
		"dac_ability_venomancer_venomous_gale_Description"						"Affyrer en giftkugle i en lige linje, som forgifter fjendtlige enheder, så de tager {s:projectile_damage} skade og derudover {s:tick_damage} skade hvert {s:tick_interval} sek. i {s:tick_duration} sek. Berørte enheder mister {s:movement_slow}% bevægelseshastighed og {s:attack_slow} angrebshastighed."
		"dac_ability_venomancer_venomous_gale_Lore"								"Nej, nej, nej. Hvis vi sætter ham i arenaen, ender halvdelen af tilskuerne med at dø. Find en anden. <i>&#8211; Grek overvejer et passende alternativ til Sun Wukong</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Refraktion"
		"dac_ability_templar_assassin_refraction_Description"					"Tempelmorderen bliver flygtig. Hun undgår skade og får +{s:bonus_damage}% angrebsskade.<br><br>Skade- og undvigelseseffekterne er separate med {s:instances} forekomster hver."
		"dac_ability_templar_assassin_refraction_Lore"							"Hvis du hjælper mig, står vi lige. <i>&#8211; Wren tager imod al den hjælp, hun kan få</i>"

		"dac_ability_templar_assassin_meld"										"Skjul"
		"dac_ability_templar_assassin_meld_Description"							"PASSIV: Når Tempelmorderen har teleporteret sig til sit mål, gør hun {s:damage} ekstra skade med sit første angreb og reducerer målets rustning med {s:armor_debuff} i {s:armor_debuff_duration} sek."
		"dac_ability_templar_assassin_meld_Lore"								"Dine færdigheder gør dig helt perfekt til det, jeg har i tankerne. <i>&#8211; Anessix kommer med et jobtilbud</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Viperbid"
		"dac_ability_viper_viper_strike_Description"							"Vipers syregift hæmmer en fjendtlig enheds bevægelses- og angrebshastighed med {s:bonus_attack_speed}%, og den giver også {s:damage} giftskade over tid.<br><br>Den hæmmende effekt reduceres i løbet af giftens varighed."
		"dac_ability_viper_viper_strike_Lore"									"Vi er ikke så forskellige... Jeg ved også, hvad det vil sige at være slave. <i>&#8211; Den Stille, konspirerende robot</i>"

		"dac_ability_viper_nethertoxin"											"Underjordsgift"
		"dac_ability_viper_nethertoxin_Description"								"Viper forgifter et felt, hvilket skader enhver fjende på det med {s:damage} skade pr. sekund, rodfæster fjenden og AFBRYDER fjendens passive evner."
		"dac_ability_viper_nethertoxin_Lore"									"Slark, træd varsomt. Dit forsøg på at stjæle fra mig vil ikke ende godt for dig. <i>&#8211; O'nia afslører sin håndlanger</i> "

		"dac_ability_viper_corrosive_skin"										"Ætsende Slangeskind"
		"dac_ability_viper_corrosive_skin_Description"							"<i>LÅST OP MED DRAGEALLIANCEN</i><br>PASSIV: Viper udskiller en smitsom gift, som giver {s:damage_per_second} skade pr. sekund og reducerer angrebshastigheden hos alle fjender, som skader Viper, i {s:dot_duration} sek. Syreudskilningen øger også Vipers magiske resistens med {s:magic_resistance}."
		"dac_ability_viper_corrosive_skin_Lore"									"Jeg ville ønske, jeg kunne finde ud af at gøre den der til en jakke... <i>&#8211; Carl har store drømme</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Måneklinger"
		"dac_ability_luna_moon_glaive_Description"								"PASSIV: Lunas klinger hopper {s:bounces} gange mellem fjender, som er {s:range} felter væk.<br><br>Klingerne giver {s:damage_reduction_percent}% mindre skade med hvert hop."
		"dac_ability_luna_moon_glaive_Lore"										"Jeg fatter ikke halvdelen af, hvad du siger, men jeg elsker den måde, du kaster de der ting. <i>&#8211; Grek, meget social</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Ildedrag"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Frigiver et ildedrag foran Drageridderen, som brænder fjender med {s:damage} skade og reducerer skaden fra deres angreb med {s:attack_reduction}% i {s:duration} sek."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Davion, du spilder dine talenter på en, som ikke sætter pris på skønheden i det, du laver. <i>&#8211; Hobgen prøver at stjæle arbejdskraft</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Urdrageform"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>LÅST OP MED DRAGEALLIANCEN</i><br>PASSIV: Ved starten af kampen ændrer Drageridderen sig til en af tre magtfulde urdrager og øger sin bevægelseshastighed med {s:bonus_movement_speed}% og angrebsskade med {s:bonus_attack_damage} og får nye kræfter.<br><br>Grøn Drage:\nAngreb giver {s:corrosive_breath_damage} giftskade pr. sekund i {s:corrosive_breath_duration} sek.<br><br>Rød Drage:\nHans angreb forgifter fjender og skader alle fjendtlige enheder, som er {s:splash_radius} felt fra målet, med {s:splash_damage_percent}% skade.<br><br>Blå Drage:\nHans angreb forgifter fjender og reducerer bevægelseshastigheden med {s:frost_bonus_movement_speed}% og angrebshastigheden med {s:frost_bonus_attack_speed}% hos fjendtlige enheder, som er {s:frost_aoe} felt fra målet, i {s:frost_duration} sek."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"Kaden har priset dig. Lad os håbe, at rosen er velfortjent. <i>&#8211; Wren, drageven</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"Naturens Opsynsmænd"
		"dac_ability_enchantress_natures_attendants_Description"				"Forførersken hidkalder en sky af {s:wisp_count} feer, som heler alle allierede enheder op til {s:radius} felter væk.<br><br>I {s:duration} sek. heler allierede {s:heal} helbred hvert {s:heal_interval} sek."
		"dac_ability_enchantress_natures_attendants_Lore"						"Hun holder ikke en dag i Det Hvide Spir. Ikke. En. Eneste. Dag. <i>&#8211; Hobgen undervurderer sin modstander</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Kast Shuriken"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"Dusørjægeren slynger en dødelig shuriken mod en fjendtlig enhed og giver {s:damage} skade og mini-lammer målet."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Så længe du har penge nok, kan du altid stole på en mand, hvis loyalitet er til salg. <i>&#8211; O'nia, tvivlsom visdom</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Klistret Napalm"
		"dac_ability_batrider_sticky_napalm_Description"						"Batrider smider en klæbrig olie, som dækker jorden {s:radius} felter fra der, hvor den rammer. Batriders angreb stiger med {s:damage} skade pr. stak, og fjenders bevægelses- og angrebshastighed hæmmes med {s:movement_speed_pct}%.<br><br>Gentagen brug af Klistret Napalm vil fortsat øge skades- og hæmningsprocenterne. Evnen kan stables op til {s:max_stacks} gange."
		"dac_ability_batrider_sticky_napalm_Lore"								"Jeg elsker den fyr. ELSKER HAM. <i>&#8211; Hobgen, pyroman</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Dommedag"
		"dac_ability_doom_bringer_doom_Description"								"Dommedagens Herre hidkalder en forbandelse, der forhindrer en fjende i at bruge besværgelser eller genstande og afbryder dem, samtidig med at den tager {s:damage} skade pr. sekund.<br><br>Varer i {s:duration} sek."
		"dac_ability_doom_bringer_doom_Lore"									"Jeg foretrækker at slå handler af med metaforiske dæmoner... <i>&#8211; O'nia fremsætter sin mening om Anessix' allierede</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Påkald Missilangreb"
		"dac_ability_gyrocopter_call_down_Description"							"Gyrokopteren påkalder et missilangreb, der rammer alle fjendtlige enheder op til {s:radius} felter væk fra, hvor missilet lander.<br><br>To missiler ankommer efter hinanden. Det første giver {s:damage_first} skade og {s:slow_first}% hæmning i {s:slow_duration_first} sek. Det andet giver {s:damage_second} skade og {s:slow_second}% hæmning i {s:slow_duration_second} sek."
		"dac_ability_gyrocopter_call_down_Lore"									"Forestil dig, hvor mange varer vi ville kunne transportere med hans hjælp. <i>&#8211; Jull tænker på helhedsbilledet</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Syrespray"
		"dac_ability_alchemist_acid_spray_Description"							"Alkymisten sprøjter højtrykssyre, der berører fjender op til {s:radius} felter fra målet.<br><br>Fjendtlige enheder, som går hen over det forurenede terræn, tager {s:damage} skade pr. sekund, og deres rustning bliver reduceret med {s:armor_reduction}."
		"dac_ability_alchemist_acid_spray_Lore"									"Du kan lide at brænde ansigter, jeg kan lide at brænde huse ned... Vi er som skabt for hinanden. <i>&#8211; Hobgen bygger bro over kulturelle forskelle</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Formskift"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Lykantropen transformerer sig og får {s:hp_per}% tilføjet til sit maksimale helbred. Hans bevægelseshastighed øges til {s:speed}, og han får {s:crit_chance}% chance for kritisk angreb med {s:crit_bonus}% skade."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Hjælp mig, Lykantrop. Hjælp mig med at få hævn. <i>&#8211; Wren appellerer til Lykantropens menneskelige side</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Hidkald Bjørnens Ånd"
		"dac_ability_lone_druid_summon_bear_Description"						"Hidkalder en stærk ledsager i form af Bjørnens Ånd."
		"dac_ability_lone_druid_summon_bear_Lore"								"Bare hold bjørnen væk fra mig, okay? Jeg kan ikke lide bjørne. <i>&#8211; Grek, som har en sygelig angst for bjørne</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Kaoskugle"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Kaosridderen kaster en mystisk energikugle, som giver {s:damage_min}-{s:damage_max} skade og lammer i {s:stun_min}-{s:stun_max} sek."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"Det Hvide Spir kunne have godt af lidt kaos. <i>&#8211; Hobgen, kaosanstifteren</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Blodbegær"
		"dac_ability_ogre_magi_bloodlust_Description"							"Troldemagikeren vækker en galskab i en allieret enhed, hvilket øger dens bevægelseshastighed med {s:bonus_movement_speed}% og angrebshastighed med {s:bonus_attack_speed}%. Hvis den bruges af Troldemagikeren selv, er angrebshastighedsbonussen {s:self_bonus}%."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Troldemagikeren er dobbelt så meget værd som sin pris. Heldigvis er han også en idiot. <i>&#8211; O'nia, tilbudsjæger</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Forstærk"
		"dac_ability_magnataur_empower_Description"								"Magnus gør en allieret rasende, hvilket giver den +{s:bonus_damage_pct}% skade og {s:cleave_damage_pct}% kløvning i {s:duration} sek."
		"dac_ability_magnataur_empower_Lore"									"Lad bare Anessix tro, at hun kan snyde Enno. Hun finder ud af, hun tager fejl et par sekunder før, hun trampes til døde. <i>&#8211; Hobgen viser et sjældent tegn på tålmodighed </i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Blodsugende Frø"
		"dac_ability_treant_leech_seed_Description"								"Treantvogteren planter et livssugende frø i en fjendtlig enhed og dræner dens helbred med {s:leech_damage} med {s:damage_interval} sek. mellemrum. Samtidigt sløves målets angrebs- og bevægelseshastighed med {s:movement_slow}%.<br><br>Frøet heler allierede enheder op til {s:radius} felt fra målet. Varer {s:duration} sek. Hopper til et nyt mål inden for {s:radius} felt, hvis det nuværende mål dør."
		"dac_ability_treant_leech_seed_Lore"									"For at være helt ærlig havde jeg ikke forventet, at Enno ville få hjælp fra et træ. <i>&#8211; Jull og Anessix over en drink</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Belys"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"Lysets Vogter kanaliserer energi og opbygger mere kraft, desto længere energien kanaliseres. Når energien frigives, sendes en bølge frem, som giver {s:damage_per_second} skade pr. sekund, der kanaliseres."
