"lang"
{ 
	"Language" "bulgarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Авт. атака"
		"dac_ability_juggernaut_blade_fury_Description"							"Непреодолимият се завърта със своето острие, давайки му имунитет срещу магии и нанасяйки {s:damage} щети в секунда върху вражески единици на разстояние {s:radius} клетка за {s:duration} секунди. Непреодолимият също може да стартира завъртане, за да избегне магическа атака."
		"dac_ability_juggernaut_blade_fury_Lore"								"Юрнеро не е просто войн. Той е Непреодолимият. Ако го привлечем на наша страна, ще съберем купища трупове за нула време. — <i>Грек разглежда ситуацията от всички възможни ъгли</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"Изкопно нападение"
		"dac_ability_sandking_burrowstrike_Description"							"Пясъчният крал прокопава тунели в земята, придвижвайки се напред, удряйки враговете с {s:damage} щети и зашеметявайки ги за {s:stun_duration} секунди.<br>Прилага натрупване от „Разяждаща кончина“ върху всички уцелени врагове."
		"dac_ability_sandking_burrowstrike_Lore"								"Беше вложена много работа при установяването на мрежата ни от тунели, не можем да позволим на Пясъчния крал да съсипе това, което сме изградили. — <i>Джул, ликьорен барон</i>"

		"dac_ability_sandking_caustic_finale"									"Разяждаща кончина"
		"dac_ability_sandking_caustic_finale_Description"						"ПАСИВНО: Всеки път, когато Пясъчният крал удря даден враг, той бива отровен за {s:apply_duration} секунди. Когато отровата изтече, тя разпръсква {s:damage_aoe} щети и забавя скоростта за атака на всички непосредствени врагове до целта с {s:attack_slow} за {s:slow_duration} секунди. Щетите се преполовяват, ако целта все още е жива."
		"dac_ability_sandking_caustic_finale_Lore"								"Какво толкова ще стане, ако ползва брезент? — <i>Анессикс, непокварена дяволица</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Душевен реквием"
		"dac_ability_shadow_fiend_requiem_Description"							"Сенчестият злодей призовава душите на обречените и отприщва демонична енергия навсякъде около него, нанасяйки {s:damage} щети върху всеки, който попадне във взрива."
		"dac_ability_shadow_fiend_requiem_Lore"									"Дворецът на Ристул и аз разполагаме със… споразумение. — <i>Анессикс, светски демон</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Милостива смърт"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"ПАСИВНО: Фантомната убийца разполага с {s:crit_chance}% шанс за нанасяне на опустошителен {s:crit_bonus}% критичен удар върху вражеските единици."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Тя извърши покушението над Квертиас, защо да не предполагам, че е дошла и за мен — <i>О'ния, параноична търговка</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Аура за прецизност"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"ПАСИВНО: Дроу рейнджърката добавя {s:bonus}% бонус към скоростта на атака за всички съюзници на разстояние {s:range} клетка."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Траксес. Ти и аз ще стигнем до върха. Довери ми се. — <i>Грек, шарлатанин</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Вълновидна форма"
		"dac_ability_morphling_waveform_Description"							"Морфлинг се разтапя в течност и избликва напред, нанасяйки {s:damage} щети върху вражеските единици по пътя си.<br><br>Морфлинг е неуязвим, докато трае „Вълновидната форма“."
		"dac_ability_morphling_waveform_Lore"									"Способността на Турат да спечели благоволението на същества подобни на Морфлинг е… тревожна. — <i>Хрисима, механична конспираторка</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Обезумяващ призив"
		"dac_ability_axe_berserkers_call_Description"							"Брадварят се присмива на вражеските единици на разстояние до {s:radius} клетка, принуждавайки ги да го атакуват за {s:duration} секунди. Докато „Обезумяващият призив“ е активен, Брадварят придобива {s:bonus_armor} бонус броня."
		"dac_ability_axe_berserkers_call_Lore"									"Да се сдобиете с помощта на Брадваря е лесно… Всичко, от което се нуждаете, е бира и обещанието за добра история, която ще е способен да разкаже. — <i>Врен, сплотяваща бунтовничка</i>" 

		"dac_ability_axe_culling_blade"											"Culling Blade"
		"dac_ability_axe_culling_blade_Description"								"If Axe's target is below {s:target_percent_health_threshold}% health, he instantly kills them. With his axe."
		"dac_ability_axe_culling_blade_Lore"									"Axe is REALLY good at cutting people in half - <i>Goodkind, Axe's Bard</i>" 

		"dac_ability_axe_counter_helix"											"Counter Helix"
		"dac_ability_axe_counter_helix_Description"								"When attacked, Axe has a {s:spin_chance}% chance to perform a helix counter attack, dealing {s:spin_damage} pure damage to all enemies within 1 cell."
		"dac_ability_axe_counter_helix_Lore"									"I let him in the Sundered Moon once... after the bar fight I had to remodel the whole damn place. - <i>In which Jull talks about why Axe isn't allowed back in his bar</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Плазмено поле"
		"dac_ability_razor_plasma_field_Description"							"Бръсначът отприщва плазмен пръстен, чиято мощ нараства, докато се разширява, но също така удря и при свиване. Забавя и нанася до {s:damage_max} щети върху вражеските единици на разстояние до {s:radius} клетки.<br><br>Щетите и забавянето се увеличават спрямо разстоянието от Бръснача.<br><br>Плазменото поле удря всяка единица два пъти. По един път във всяка посока."
		"dac_ability_razor_plasma_field_Lore"									"Ако мислите, че е страховит по улиците на Белия Шпил, трябва да видите какво прави в Тесния лабиринт. — <i>Анессикс, спортен почитател</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Тайнствена аура"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"ПАСИВНО: Всеки {s:interval} секунди, Кристалната девица предоставя {s:mana_regen} мана на всички приятелски единици."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"Разбери дали тя е тук заради мен или Турат. — <i>Джул, контрабандист на спиртни напитки от Леденатаразруха</i>"

		"dac_ability_crystal_maiden_frostbite"									"Скрежно измръзване"
		"dac_ability_crystal_maiden_frostbite_Description"						"Encases an enemy unit in ice, prohibiting movement and attack, while dealing {s:damage} damage per second for {s:duration} seconds. Targets affected by Frostbite cannot be healed."
		"dac_ability_crystal_maiden_frostbite_Lore"								"Доста неща се случват в Белия Шпил, така че понякога е лесно да пропуснете разни работи. Ето например, Кристалната девица от Леденатаразруха просто помагаше на своите събратя, но очевидно в днешно време всъщност замразява хората, което беше новост за мен. — <i>Карл, последният научил</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Призрачен кораб"
		"dac_ability_kunkka_ghostship_Description"								"Кунка призовава призрачен кораб, който преплава през битката, преди да корабокрушира, нанасяйки {s:ability_damage} щети и зашеметявайки всички врагове на разстояние {s:ghostship_crash_cells} клетки до останките за {s:stun_duration} секунди."
		"dac_ability_kunkka_ghostship_Lore"										"Мама Ейб имаше много приятели… Кунка иска отговори толкова много, колкото и аз. — <i>Врен, отмъстителна дъщеря</i>"

		//TINY
		"dac_ability_tiny_toss"													"Мятане"
		"dac_ability_tiny_toss_Description"										"Дребосъчето сграбчва произволен враг наблизо и го захвърля по най-далечната вражеска цел.<br><br>При сблъсък, целта нанася {s:damage} щети на всички врагове на разстояние {s:damage_radius} клетка и ги зашеметява за {s:stun_duration} секунди."
		"dac_ability_tiny_toss_Lore"											"Изглежда, че Енно си е намерил як помощник. — <i>А Грек намира голям проблем в това</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Илюзорно кълбо"
		"dac_ability_puck_illusory_orb_Description"								"Пакостничето изстрелва магическо кълбо, което лети в права линия, нанасяйки {s:damage} щети върху вражески единици по пътя."
		"dac_ability_puck_illusory_orb_Lore"									"Не се заблуждавайте от външния вид, Пакостничето е същинско копеле. — <i>Хобген, споделя няколко мъдри дълбокомислия</i>"

		"dac_ability_puck_phase_shift"											"Изместване на фаза"
		"dac_ability_puck_phase_shift_Description"								"<i>ОТКЛЮЧЕНО ОТ ДРАКОНОВ СЪЮЗ</i><br>ПАСИВНО: Точно преди да поеме щети, Пакостничето за кратко се измества в друго измерение, където има имунитет срещу вреди за {s:shift_duration} секунди."
		"dac_ability_puck_phase_shift_Lore"										"Този дребен сополанко никога не е наоколо, когато Ви е нужен. — <i>Хобген, нетърпелив подземен лорд</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Батарейно нападение"
		"dac_ability_clockwerk_battery_assault_Description"						"Часовникарят отприщва шрапнел с голяма сила върху произволни вражески единици на разстояние {s:radius_in_cells} клетка на всеки {s:damage_tick} сек. за {s:duration} секунди, нанасяйки им {s:damage} магически щети и леко зашеметяване."
		"dac_ability_clockwerk_battery_assault_Lore"							"Брас Хералд би те нарекъл мерзост, но мисля, че си доста хитър, малък кийн фолк. — <i>Хрисима, еретичен автоматичен механизъм</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Верижен скреж"
		"dac_ability_lich_chain_frost_Description"								"Лич отприщва ледено кълбо, което отскача между близките вражески единици до {s:jumps} пъти, забавяйки атаките и скоростта им на движение с {s:slow_value}% за {s:slow_duration} секунди и нанася {s:damage} щети при всяко попадение."
		"dac_ability_lich_chain_frost_Lore"										"Можем да си помогнем взаимно, Лич. — <I>Турат, сключващ фаустова сделка</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Опустошение"
		"dac_ability_tidehunter_ravage_Description"								"Приливният ловец блъска в земята, причинявайки появата на пипала във всички посоки, нанасяйки {s:damage} щети и зашеметявайки всички вражески единици на разстояние {s:cells} клетки за {s:duration} секунди."
		"dac_ability_tidehunter_ravage_Lore"									"Кунка, харесвах те повече, когато не беше преследван от левиатан. — <i>Врен, благосклонна приятелка</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Вещерство"
		"dac_ability_shadow_shaman_voodoo_Description"							"Сенчестият шаман превръща дадена вражеска единица в безобидна твар, преустановявайки атаките и уменията ѝ за {s:duration} секунди."
		"dac_ability_shadow_shaman_voodoo_Lore"									"Ето този тип знае как да направи представление! — <i>Грек показва професионална учтивост</i>"

		"dac_ability_shadow_shaman_mass_serpent_ward"							"Mass Serpent Ward"
		"dac_ability_shadow_shaman_mass_serpent_ward_Description"				"Shadow Shaman traps an enemy unit by summoning up to 4 Serpent Wards. At 3 stars, Shadow Shaman also Hexes the enemy unit for {s:duration} seconds."
		"dac_ability_shadow_shaman_mass_serpent_ward_Lore"						"Good news boys, chicken's back on the menu! - <i>Hobgen, Short Order Crook</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"Среднощен пулс"
		"dac_ability_enigma_midnight_pulse_Description"							"Enigma steeps an area underneath the enemy with the highest max health in dark resonance, dealing {s:damage_percent}% of an enemy's max health for {s:duration} seconds to all enemy units up to {s:radius} cell away from the target and slowing them by {s:slow_percent}%."
		"dac_ability_enigma_midnight_pulse_Lore"								"На този свят има някои неща, които не можете да контролирате. — <i>Турат, луд маг</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Топлинно насочваща се ракета"
		"dac_ability_tinker_heat_seeking_missile_Description"					"Нескопосникът изстрелва оръдеен залп от ракети по {s:targets} произволни врага, нанасяйки {s:damage_per_missile} щети при сблъсък."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"Обществото от кийнфолк със сходни възгледи ще бъде проблем, ако не е обуздано. — <i>О'ния опитва да сформира единен фронт</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Покушение"
		"dac_ability_sniper_assassinate_Description"							"Sniper takes aim at an enemy unit for {s:castPoint} seconds, then fires a devastating shot that deals {s:damage} damage and mini-stuns the target. Underlords will not be targeted."
		"dac_ability_sniper_assassinate_Lore"									"Знаеш ли, преди имах кийнфолк за подгряващо представление. Страхотно за аудиториите, лошо при подвеждане под отговорност за застраховка. — <i>Грек, фокусиран над крайната сметка</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Мъртвешки пулс"
		"dac_ability_necrophos_death_pulse_Description"							"Некрофос отприщва вълна от смърт около себе си, влияейки на вражески и приятелски единици на разстояние до {s:radius} клетки.<br><br>Мъртвешкият пулс нанася {s:damage} щети на враговете и лекува съюзниците с {s:heal}."
		"dac_ability_necrophos_death_pulse_Lore"								"Хайде сега, Некрофос, трябва да има нещо, което искаш… — <i>Анессикс, сребро уста дяволица</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Корозивна мъглявина"
		"dac_ability_slardar_amplify_damage_Description"						"Slardar modifies enemy armor by {s:armor_reduction} for {s:duration} seconds. At 3 stars, Slardar also bashes the target, dealing {s:bash_damage} Physical damage and stunning for {s:bash_duration} seconds."
		"dac_ability_slardar_amplify_damage_Lore"								"Сларк и аз бяхме способни да въртим бизнес. Със сигурност можем да достигнем и спогодба. — <i>Джул, познавач на пандизчийска пиячка</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Диви брадви"
		"dac_ability_beastmaster_wild_axes_Description"							"Повелителят на зверовете захвърля брадвите си, а след това ги призовава обратно, разрязвайки вражески единици и дървета по пътя им за {s:axe_damage} щети.<br><br>Всяка брадва може да удари враг само веднъж, увеличавайки по-нататъшните щети от Повелителя на зверовете с {s:damage_amp}%."
		"dac_ability_beastmaster_wild_axes_Lore"								"Колко още от тези природолюбители ще се застъпят за този дребен изтърсак? — <i>Грек се оплаква относно Енно</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Чумен страж"
		"dac_ability_venomancer_plague_ward_Description"						"Venomancer summons {s:num_wards} Plague Ward to fight alongside him. Plague Wards apply Poison stacks to their target and have {s:ward_magic_resist}% Magic Resistance."
		"dac_ability_venomancer_plague_ward_Lore"								"Творенията ти са красиви за взора. Нека ти помогна да култивираш своята градина… — <i>Турат научава, че ласкателството Ви отвежда навсякъде</i>"

		"dac_ability_venomancer_venomous_gale"									"Жлъчният изблик"
		"dac_ability_venomancer_venomous_gale_Description"						"Launches a ball of venom in a line; Enemies hit take {s:projectile_damage} MAGIC damage and are Poisoned. Affected units lose {s:movement_slow}% movement speed and {s:attack_slow} attack speed for {s:tick_duration} seconds."
		"dac_ability_venomancer_venomous_gale_Lore"								"Не, не, не. Ако поставим тоя тип в центъра на сцената, половината публика ще се окаже мъртва. Намерете някой друг. — <i>Грек размишлява кой би бил подходящ заместник на Сън Ву Конг</i>"

		"dac_ability_venomancer_poison_sting"									"Poison Sting"
		"dac_ability_venomancer_poison_sting_Description"						"PASSIVE: Each attack applies a stack of Poison to the target."
		"dac_ability_venomancer_poison_sting_Lore"								"Keep that thing away from Enno, more poison is the last thing the little runt needs... - <i>Hobgen, Not A Fan Of Being Poisoned</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Рефракция"
		"dac_ability_templar_assassin_refraction_Description"					"Тамплиерката убиец става неуловима, избягвайки щети и придобивайки +{s:bonus_damage} щети на атака.<br><br>Ефектите за щетите и избягването са отделни и разполагат с {s:instances} инстанциите за всеки от тях."
		"dac_ability_templar_assassin_refraction_Lore"							"Ако ми помогнеш, дългът ни е уреден. — <i>Врен се сдобива с всичката помощ, която може да получи</i>"

		"dac_ability_templar_assassin_meld"										"Сливане"
		"dac_ability_templar_assassin_meld_Description"							"ПАСИВНО: След като се телепортира до своята цвл, Тамплиерката убиец нанася {s:damage} допълнителни щети при първата атака. Също така намалява бронята на целта с {s:armor_debuff} за {s:armor_debuff_duration} секунди."
		"dac_ability_templar_assassin_meld_Lore"								"Талантите ти те правят уникално подходяща за това което съм си наумила. — <i>Анессикс отправя предложение за работа</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Нападение от Пепелянката"
		"dac_ability_viper_viper_strike_Description"							"Киселинната отрова на Пепелянката забавя скоростта за движение и атака на дадена вражеска единица с {s:bonus_attack_speed}%, докато същевременно с това ѝ нанася {s:damage} отровни щети през време.<br><br>Забавящият ефект избледнява през времетраенето на отровата."
		"dac_ability_viper_viper_strike_Lore"									"Не сме толкова различни… Аз също знам какво означава да бъдеш роб. — <i>Хрисима, механична съзаклятница</i>"

		"dac_ability_viper_nethertoxin"											"Долен токсин"
		"dac_ability_viper_nethertoxin_Description"								"Пепелянката отравя клетка, нанасяйки {s:damage} щети в секунда върху всяка вражеска единица в нея, вкоренявайки я и прилагайки пречупване."
		"dac_ability_viper_nethertoxin_Lore"									"Пристъпвай внимателно Сларк, ако се опитваш да ме ограбиш, това няма да свърши добре за теб — <i>О'ния разкрива наетите мускулести биячи</i> "

		"dac_ability_viper_corrosive_skin"										"Корозивна кожа"
		"dac_ability_viper_corrosive_skin_Description"							"<i>UNLOCKED BY THE DRAGON ALLIANCE</i><br>PASSIVE: Viper exudes an infectious toxin that applies a stack of Poison and slows the attack speed by {s:attack_slow} of any enemy that damages it for {s:dot_duration} seconds. The acid exudate also increases Viper's magic resistance by {s:magic_resistance}."
		"dac_ability_viper_corrosive_skin_Lore"									"Бих се радвал да изнамеря начин, по който да направя палто от него… — <i>Карл, голям мечтател</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Лунни пики"
		"dac_ability_luna_moon_glaive_Description"								"ПАСИВНО: Лунните пики на Луна отскачат {s:bounces} пъти между враговете на разстояние {s:range} клетки.<br><br>Пиките нанасят {s:damage_reduction_percent}% по-малко щети с всеки отскок."
		"dac_ability_luna_moon_glaive_Lore"										"Не разбирам и половината от това, което ка'аш, но ми харесва начина, по който запращаш тези неща. — <i>Грек, човека от народа</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Огнен дъх"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Отприщва огнен дъх пред Драконовия рицар, който изгаря врагове с {s:damage} щети и намалява тези, нанесени от техните атаки с {s:attack_reduction}% за {s:duration} секунди."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Давион, талантите ти отиват нахалост връз някой, който не оценява прелестта на туй, що правиш. — <i>Хобген, опитва да улови талант</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Форма на древен дракон"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>UNLOCKED BY THE DRAGON ALLIANCE</i><br>PASSIVE: At the beginning of combat Dragon Knight takes the form of one of three powerful elder dragons, increasing his movement speed by {s:bonus_movement_speed}% and attack damage by {s:bonus_attack_damage} and granting him new powers.<br><br>Green Dragon:\nAttacks deal {s:corrosive_breath_damage} damage per second for {s:corrosive_breath_duration} seconds and Poison the target.<br><br>Red Dragon:\nIn addition to poisoning enemies, attacks damage all enemy units {s:splash_radius} cell away from the target for {s:splash_damage_percent}% damage.<br><br>Blue Dragon:\nIn addition to poisoning enemies, attacks slow movement speed by {s:frost_bonus_movement_speed}% and attack speed by {s:frost_bonus_attack_speed}% to enemy units {s:frost_aoe} cell away from the target for {s:frost_duration} seconds."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"Каден говореше благосклонно за теб, да се надяваме, че хвалбите му са били заслужени. — <i>Врен, приятел на драконовата крепост</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"Природните придружители"
		"dac_ability_enchantress_natures_attendants_Description"				"Чародейката призовава облак от {s:wisp_count} духчета, които лекуват съюзниците на разстояние до {s:radius} клетки.<br><br>За {s:duration} секунди, съюзниците лекуват {s:heal} здраве на всеки {s:heal_interval} сек."
		"dac_ability_enchantress_natures_attendants_Lore"						"Тя няма да оцелее и ден в Белия Шпил. Ни. Един. Ден. Дори. — <i>А Хобген подценява своя неприятел</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Мятане на шурикен"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"Ловецът на глави захвърля смъртоносен шурикен към дадена вражеска единица, нанасяйки {s:damage} щети и леко зашеметяване на целта."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Стига да имаш парите, винаги се доверявай на човек, чиято лоялност е за продан. — <i>О'ния, съмнителна мъдрост</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Лепкав напалм"
		"dac_ability_batrider_sticky_napalm_Description"						"Batrider throws flaming sticky oil, coating the ground {s:radius} cells away from point of impact. The oil adds {s:damage} damage per stack to Batrider's attacks, and slows the movement and attack speed of enemies by {s:movement_speed_pct}%. At 3 stars, Batrider also sets these enemies on fire for {s:fire_duration} seconds.<br><br>Additional casts of Sticky Napalm continue to increase damage and slow percentages, up to {s:max_stacks} stacks."
		"dac_ability_batrider_sticky_napalm_Lore"								"Обичам този тип. ОБИЧАМ ГО. — <i>Хобген, пироманиак</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Гибел"
		"dac_ability_doom_bringer_doom_Description"								"Вестителят на гибелта призовава могъщо проклятие, което възпрепядства даден враг да изпълнява заклинания и прилага пречупване, докато същевременно с това му нанася {s:damage} щети в секунда.<br><br>Трае {s:duration} секунди."
		"dac_ability_doom_bringer_doom_Lore"									"Предпочитам да си имам вземане-даване с метафорични демони… — <i>А О'ния изказва мнение относно съюзниците на Анессикс</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Призоваване на въздушна ракетна атака"
		"dac_ability_gyrocopter_call_down_Description"							"Жирокоптерът изстрелва ракетно нападение, удряйки всички вражески единици на разстояние до {s:radius} клетки от точката на стълкновение.<br><br>Последователно пристигат две ракети. Първата нанася {s:damage_first} щети и {s:slow_first}% забавяне за {s:slow_duration_first} секунди. А финалната нанася {s:damage_second} щети и {s:slow_second}% забавяне за {s:slow_duration_second} секунди."
		"dac_ability_gyrocopter_call_down_Lore"									"Замислете се относно това колко продукция бихме могли да пренесем с негова помощ. — <i>Джул се замисля за по-голямата картина</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Киселинен спрей"
		"dac_ability_alchemist_acid_spray_Description"							"Алхимикът изпръсква киселина под високо налягане, влияейки върху врагове на разстояние до {s:radius} клетки от целта.<br><br>Вражески единици, които преминат през заразения терен, поемат {s:damage} щети в секунда и имат намалена броня с {s:armor_reduction}."
		"dac_ability_alchemist_acid_spray_Lore"									"Харесва ти да изгаряш хорските лица, а аз обичам да изпепелява жилища им… Какво райско пламенно съвпадение. — <i>Хобген преодолява културна пропаст</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Промяна на облика"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Lycan summons {s:summon_count} wolves and transforms and gains {s:hp_per}% to his max health, his move speed is boosted to {s:speed} and gains {s:crit_chance}% chance to Critical Hit for {s:crit_bonus}% Damage."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Моля те, Ликантропе, помогни ми да си отмъстя. — <i>Врен опитва да умилостиви човещината на Ликантропа</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Призоваване на духовна мечка"
		"dac_ability_lone_druid_summon_bear_Description"						"Призовава могъща духовна мечка като придружител."
		"dac_ability_lone_druid_summon_bear_Lore"								"Просто дръж мечката далеч от мен, става ли? Мечките не ми понасят. — <i>Грек, страдащ от фобия към мечки</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Мълния на хаоса"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Рицарят на хаоса хвърля мистериозна енергийна мълния, която нанася {s:damage_min} — {s:damage_max} щети и зашеметява за {s:stun_min} — {s:stun_max} секунди."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"На Белия Шпил малко хаос би му се отразил добре. — <i>Хобген, агент на хаоса</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Кръвожадност"
		"dac_ability_ogre_magi_bloodlust_Description"							"Ogre Magi incites a frenzy in a friendly unit, increasing its movement speed by {s:bonus_movement_speed}% and attack speed by {s:bonus_attack_speed}%. If cast on Ogre Magi himself, the attack speed bonus is {s:self_bonus}% instead. Ogre Magi has a {s:multicast_chance}% chance to Multicast this ability to 2 targets."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Магът струват дваж по-скъпо от туй, що таксува. За щастие, магът също тъй е идиот. — <i>О'ния, пазаряща се за най-изгодната цена</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Подсилване"
